#node1,node2
CPS1,SGPL1
ITGAM,LAMP1
STX12,CTSD
ASPH,C1S
PLD3,DAGLB
NPC1,APOE
SERPINE2,APP
ITGAM,CD44
APOE,VTN
SNRPE,PVALB
HRNR,LOR
ITGAM,LYZ
RAN,EEF1G
APOE,CTSD
NCSTN,APOE
HCLS1,RAC2
FLT1,APLP2
SST,SLC17A6
ITM2B,SERINC3
IGSF9B,IGSF8
MDK,RAC2
RPL21,VAT1L
ICAM1,TIMP2
PTPRC,APOE
APOE,APLP1
CTSB,TIMP2
SDC4,VTN
RPL21,LYZ
GPNMB,PTPRC
ANXA4,S100A13
VAMP1,SYT2
ACTR1A,ARPC1B
CDH13,TMEFF2
EDIL3,VTN
ICAM1,CYBA
ITGB2,VWF
B2M,ITGAM
COL25A1,BACE1
ITGB2,VTN
TIMP2,APOE
TOLLIP,ABCB6
VPS29,VPS16
IGSF9B,C1QB
FLT1,TIMP2
CNR1,CALB2
HK2,HEXB
RIMS3,CALB2
STX8,CTSD
PTPRC,RAC2
GPC4,VTN
TIMP2,COL1A1
CLCN3,CTSD
ITGB5,VTN
ANXA4,APOE
CTHRC1,COL1A1
SYT11,AIMP2
EEF1G,PGAM2
CPS1,FLT1
VAMP7,CTSD
CLCN7,TPP1
LAMP2,VAMP7
PSAP,HEXA
HTRA1,APOE
APOE,GRN
ITGAM,LTF
COL1A1,VIM
LAMP2,STX7
TAGLN2,IGSF9B
LAMP2,PTPRC
B2M,C1QB
FLT1,VTN
HBG1,AQP1
SCARB2,CTSD
APOE,MIF
GRM2,PVALB
CLU,CTSD
GABRA5,SPOCK2
ITGAM,ITGB5
PTN,FLNC
LYZ,CTSD
MSN,ANXA2
SCARB2,APOE
ITGAM,VTN
GPNMB,NCSTN
ITGAM,C1QA
GRM2,CALB2
NRXN3,ALDH2
GRM2,SLC17A6
LCP1,MYH2
TAGLN2,ANXA2
ITGAM,C4A
ITGB2,RAC2
MSN,RAC2
CTSB,CLU
CTSB,NCSTN
CLU,CALB2
NRGN,PVALB
GPNMB,VWF
PTN,FLT1
RAN,EHD4
LAMP1,OSTM1
MDK,FLT1
MYH2,COL1A1
CLCN7,LAMP1
